dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
/mnt/ramdisk/front-budget6000-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,7191.0299,1847.7321,5343.2978,0.0000,0.0000,0.0000,0.7167,4.3101,0.3912,0.0000,28.0652,28.0652,0.9011,0.7129
/mnt/ramdisk/front-budget6000-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,7296.5509,1906.7157,5389.8352,0.0000,0.0000,0.0000,0.7419,4.4797,0.4033,0.0000,28.0652,28.0652,0.9047,0.7345
/mnt/ramdisk/front-budget6000-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,7201.4876,1847.3113,5354.1763,0.0000,0.0000,0.0000,0.7192,4.3089,0.3940,0.0000,28.0652,28.0652,0.9053,0.6366
/mnt/ramdisk/front-budget6000-wmin1-wmax15-states10,19000,4188.8085,347.9627,3840.8458,7196.7201,1860.5358,5336.1843,0.0000,0.0000,0.0000,0.7181,4.3469,0.3893,0.0000,28.0652,28.0652,0.9047,0.7129
/mnt/ramdisk/front-budget6000-wmin1-wmax15-states100,19000,4188.8085,347.9627,3840.8458,7284.9039,1899.2137,5385.6902,0.0000,0.0000,0.0000,0.7391,4.4581,0.4022,0.0000,28.0652,28.0652,0.9058,0.7174
/mnt/ramdisk/front-budget6000-wmin1-wmax20-states1,19000,4188.8085,347.9627,3840.8458,7211.4528,1860.4263,5351.0266,0.0000,0.0000,0.0000,0.7216,4.3466,0.3932,0.0000,28.0652,28.0652,0.9021,0.6700
/mnt/ramdisk/front-budget6000-wmin1-wmax20-states10,19000,4188.8085,347.9627,3840.8458,7204.8029,1857.2536,5347.5493,0.0000,0.0000,0.0000,0.7200,4.3375,0.3923,0.0000,28.0652,28.0652,0.8963,0.7226
/mnt/ramdisk/front-budget6000-wmin1-wmax20-states100,19000,4188.8085,347.9627,3840.8458,7291.1053,1899.3946,5391.7107,0.0000,0.0000,0.0000,0.7406,4.4586,0.4038,0.0000,28.0652,28.0652,0.8987,0.7053
/mnt/ramdisk/front-budget6000-wmin5-wmax12-states1,19000,4188.8085,347.9627,3840.8458,7218.1866,1862.1457,5356.0408,0.0000,0.0000,0.0000,0.7232,4.3516,0.3945,0.0000,28.0652,28.0652,0.9063,0.6171
/mnt/ramdisk/front-budget6000-wmin5-wmax12-states10,19000,4188.8085,347.9627,3840.8458,7212.8357,1854.7290,5358.1067,0.0000,0.0000,0.0000,0.7219,4.3303,0.3950,0.0000,28.0652,28.0652,0.9003,0.7087
/mnt/ramdisk/front-budget6000-wmin5-wmax12-states100,19000,4188.8085,347.9627,3840.8458,7287.0886,1905.9581,5381.1306,0.0000,0.0000,0.0000,0.7397,4.4775,0.4010,0.0000,28.0652,28.0652,0.9016,0.6945
