dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
/mnt/ramdisk/front-budget6000-wmin5-wmax15-states1,19000,4188.8085,347.9627,3840.8458,7178.3468,1842.8924,5335.4544,0.0000,0.0000,0.0000,0.7137,4.2962,0.3891,54.1121,28.0652,1546.7324,0.7350,0.6532
/mnt/ramdisk/front-budget6000-wmin5-wmax15-states10,19000,4188.8085,347.9627,3840.8458,7217.3581,1860.5457,5356.8124,0.0000,0.0000,0.0000,0.7230,4.3470,0.3947,39.0715,28.0652,1124.6165,0.7521,0.6847
/mnt/ramdisk/front-budget6000-wmin5-wmax15-states100,19000,4188.8085,347.9627,3840.8458,7289.6805,1898.5543,5391.1262,0.0000,0.0000,0.0000,0.7403,4.4562,0.4036,39.8412,28.0652,1146.2182,0.7518,0.6782
/mnt/ramdisk/front-budget6000-wmin5-wmax20-states1,19000,4188.8085,347.9627,3840.8458,7193.9456,1852.3338,5341.6118,0.0000,0.0000,0.0000,0.7174,4.3234,0.3907,55.5413,28.0652,1586.8451,0.7392,0.6363
/mnt/ramdisk/front-budget6000-wmin5-wmax20-states10,19000,4188.8085,347.9627,3840.8458,7205.1708,1859.9162,5345.2546,0.0000,0.0000,0.0000,0.7201,4.3452,0.3917,38.6053,28.0652,1111.5329,0.7555,0.7134
/mnt/ramdisk/front-budget6000-wmin5-wmax20-states100,19000,4188.8085,347.9627,3840.8458,7280.6685,1896.5549,5384.1136,0.0000,0.0000,0.0000,0.7381,4.4505,0.4018,38.3132,28.0652,1103.3329,0.7553,0.6737
/mnt/ramdisk/front-budget6000-wmin10-wmax12-states1,19000,4188.8085,347.9627,3840.8458,7198.4869,1863.1087,5335.3782,0.0000,0.0000,0.0000,0.7185,4.3543,0.3891,56.0238,28.0652,1600.3867,0.7387,0.6684
/mnt/ramdisk/front-budget6000-wmin10-wmax12-states10,19000,4188.8085,347.9627,3840.8458,7200.7667,1855.1464,5345.6203,0.0000,0.0000,0.0000,0.7190,4.3315,0.3918,36.1344,28.0652,1042.1860,0.7547,0.7126
/mnt/ramdisk/front-budget6000-wmin10-wmax12-states100,19000,4188.8085,347.9627,3840.8458,7293.0609,1904.3631,5388.6978,0.0000,0.0000,0.0000,0.7411,4.4729,0.4030,38.0159,28.0652,1094.9900,0.7547,0.7132
/mnt/ramdisk/front-budget6000-wmin10-wmax15-states1,19000,4188.8085,347.9627,3840.8458,7201.1895,1848.2687,5352.9208,0.0000,0.0000,0.0000,0.7191,4.3117,0.3937,56.2887,28.0652,1607.8210,0.7403,0.6608
/mnt/ramdisk/front-budget6000-wmin10-wmax15-states10,19000,4188.8085,347.9627,3840.8458,7203.1059,1857.3272,5345.7788,0.0000,0.0000,0.0000,0.7196,4.3377,0.3918,38.2878,28.0652,1102.6218,0.7547,0.7224
/mnt/ramdisk/front-budget6000-wmin10-wmax15-states100,19000,4188.8085,347.9627,3840.8458,7326.7200,1923.5681,5403.1519,0.0000,0.0000,0.0000,0.7491,4.5281,0.4068,38.4520,28.0652,1107.2288,0.7432,0.6824
/mnt/ramdisk/front-budget6000-wmin10-wmax20-states1,19000,4188.8085,347.9627,3840.8458,7190.6602,1850.2527,5340.4075,0.0000,0.0000,0.0000,0.7166,4.3174,0.3904,56.8715,28.0652,1624.1769,0.7363,0.6547
/mnt/ramdisk/front-budget6000-wmin10-wmax20-states10,19000,4188.8085,347.9627,3840.8458,7203.2077,1846.8502,5356.3575,0.0000,0.0000,0.0000,0.7196,4.3076,0.3946,36.8032,28.0652,1060.9552,0.7542,0.7134
/mnt/ramdisk/front-budget6000-wmin10-wmax20-states100,19000,4188.8085,347.9627,3840.8458,7291.3595,1905.6032,5385.7563,0.0000,0.0000,0.0000,0.7407,4.4765,0.4022,38.5738,28.0652,1110.6487,0.7505,0.7013
